x,y,z
-140.203640485,75.1298061466,839.108764517
-140.342885093,75.1774674947,839.116752821
-140.482980245,75.2250493678,839.124701865
-140.623932749,75.2725509994,839.132611614
-140.765749462,75.3199716146,839.140482032
-140.908437295,75.3673104299,839.148313081
-141.052003205,75.4145666526,839.156104727
-141.196454203,75.4617394814,839.163856934
-141.341797351,75.5088281057,839.171569666
-141.488039758,75.5558317061,839.179242888
-141.635188588,75.6027494538,839.186876564
-141.783251053,75.6495805105,839.19447066
-141.932234414,75.6963240289,839.20202514
-142.082145986,75.7429791516,839.209539971
-142.23299313,75.7895450122,839.217015117
-142.384783259,75.836020734,839.224450544
-142.537523835,75.8824054308,839.231846218
-142.69122237,75.9286982064,839.239202106
-142.845886425,75.9748981544,839.246518172
-143.001523608,76.0210043583,839.253794384
-143.158141577,76.0670158914,839.261030709
-143.315748039,76.1129318166,839.268227112
-143.474350748,76.1587511863,839.27538356
-143.633957504,76.2044730422,839.282500022
-143.794576155,76.2500964154,839.289576463
-143.956214597,76.2956203263,839.296612852
-144.11888077,76.3410437841,839.303609156
-144.28258266,76.3863657872,839.310565342
-144.447328298,76.4315853227,839.317481379
-144.61312576,76.4767013667,839.324357234
-144.779983165,76.5217128836,839.331192877
-144.947908675,76.5666188265,839.337988275
-145.116910494,76.611418137,839.344743396
-145.286996868,76.6561097448,839.351458211
-145.458176084,76.7006925679,839.358132687
-145.630456469,76.7451655125,839.364766794
-145.803846389,76.7895274725,839.371360502
-145.978354247,76.8337773298,839.377913778
-146.153988484,76.8779139542,839.384426595
-146.330757577,76.921936203,839.39089892
-146.50867004,76.9658429209,839.397330725
-146.687734418,77.0096329403,839.403721979
-146.867959289,77.0533050807,839.410072652
-147.049353265,77.0968581488,839.416382716
-147.231924986,77.1402909387,839.422652141
-147.415683122,77.183602231,839.428880898
-147.600636371,77.2267907937,839.435068957
-147.786793454,77.2698553812,839.441216291
-147.974163122,77.3127947348,839.447322871
-148.162754143,77.3556075822,839.453388667
-148.352575312,77.3982926377,839.459413653
-148.543635439,77.440848602,839.465397799
-148.735943354,77.4832741619,839.471341079
-148.929507903,77.5255679906,839.477243464
-149.124337946,77.5677287472,839.483104927
-149.320442355,77.6097550769,839.48892544
-149.517830012,77.6516456106,839.494704977
-149.716509806,77.6933989654,839.50044351
-149.916490635,77.7350137437,839.506141012
-150.117781397,77.7764885337,839.511797458
-150.320390991,77.8178219092,839.51741282
-150.524328317,77.8590124293,839.522987072
-150.72960227,77.9000586387,839.528520188
-150.936221738,77.9409590672,839.534012142
-151.144195599,77.98171223,839.539462909
-151.353532721,78.0223166273,839.544872463
-151.564241956,78.0627707445,839.550240778
-151.776332137,78.103073052,839.55556783
-151.989812078,78.1432220052,839.560853593
-152.204690566,78.1832160445,839.566098042
-152.420976365,78.2230535948,839.571301153
-152.638678203,78.2627330664,839.576462901
-152.857804777,78.3022528537,839.581583263
-153.078364745,78.3416113364,839.586662213
-153.300366723,78.3808068786,839.591699728
-153.523819284,78.4198378291,839.596695784
-153.748730949,78.4587025213,839.601650357
-153.975110186,78.4973992733,839.606563425
-154.202965409,78.5359263877,839.611434964
-154.432304966,78.5742821518,839.61626495
-154.663137141,78.6124648375,839.621053362
-154.89547015,78.650472701,839.625800175
-155.12931213,78.6883039835,839.630505369
-155.364671142,78.7259569105,839.635168919
-155.60155516,78.7634296922,839.639790805
-155.839972072,78.8007205236,839.644371005
-156.079929668,78.8378275842,839.648909496
-156.321435643,78.8747490384,839.653406257
-156.564497583,78.9114830351,839.657861266
-156.809122968,78.9480277084,839.662274502
-157.055319159,78.9843811772,839.666645945
-157.303093401,79.0205415451,839.670975573
-157.552452806,79.0565069012,839.675263365
-157.803404359,79.0922753195,839.679509302
-158.055954904,79.1278448593,839.683713362
-158.310111139,79.1632135652,839.687875526
-158.565879615,79.1983794675,839.691995773
-158.823266723,79.2333405819,839.696074084
-159.082278692,79.2680949101,839.70011044
-159.34292158,79.3026404395,839.704104819
-159.605201268,79.3369751436,839.708057205
-159.869123456,79.3710969823,839.711967577
